1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
2.079172921,2.081680478,1068.845101,456.6687574,-49.98907471,1168.03241,1164.459506,927.8662179,974.4308124,1014.652408,1475.261236,1563.945413,1582.636022,1567.087007,1531.690353,1518.614042,1469.175604,1411.406022,1105.561514,1047.877365,392.7465147,392.7140088,392.6698403,396.0300816,52.74290635,0.21567482,110.1022148,123.0079496,121.176809,118.817887,122.3631816,124.8462719,114.2977226,120.910091,122.1161759,123.2470585,118.8919599,121.23354,687.4825007,886.1639097,891.3057264,265.8109778,708.5009665,130.8981408,1426.079822,1421.043519,1383.007785,1440.736732,1415.569937,1403.868074,0.578368057
2.092377788,2.093333244,1066.844905,458.0010812,-49.98907471,1166.729666,1163.281869,926.9497703,972.6708193,1012.09561,1475.509161,1563.668659,1582.270908,1565.626595,1530.103834,1518.249029,1470.043454,1410.240985,1104.949194,1048.651168,395.807157,396.2586367,396.3520048,399.695913,52.34651244,0.182403293,109.6088185,122.4339314,120.9143164,118.1251527,121.8301239,124.4111786,113.3469312,120.3161645,121.9707614,123.2527838,118.3156579,121.2711041,691.8573453,898.694046,899.817672,265.4906602,700.8146661,134.3719113,1429.131054,1422.587325,1383.037829,1440.193586,1415.109413,1403.284042,0.570041661
2.051431214,2.052624929,1067.135813,460.2379896,-49.98907471,1166.198957,1162.456366,926.7768107,973.5453387,1012.816732,1473.201329,1562.819586,1582.57739,1566.613382,1530.380607,1519.543081,1473.180804,1411.299634,1104.121155,1047.969001,395.1612069,395.8699316,395.3705383,398.8360785,52.30570798,0.187925935,108.7047395,120.9459067,119.4358416,116.6663987,119.8013765,122.830428,111.6189788,118.6862349,119.7657085,121.023981,116.5897074,119.2650893,685.7406819,900.4081946,889.2917711,285.2395079,685.8558297,135.731872,1429.735371,1423.937925,1384.579593,1439.086555,1414.181911,1401.9332,0.599479164
3.837177739,3.838340194,1077.705178,65.61119224,55.90178929,1160.697053,1159.119097,943.7329667,987.0264153,1013.277909,1480.100434,1536.70527,1571.736035,1547.578271,1521.571142,1503.401534,1449.950036,1392.675846,1124.364795,1060.67914,356.7715156,359.2743045,364.2548605,366.055792,51.76487861,0.231537893,105.7330534,116.2287618,115.6482877,114.3776039,117.2595449,121.0378258,110.9515389,116.9662184,117.1787423,117.0881545,112.0822245,116.1347168,663.079241,905.2196198,896.4698122,234.3306552,647.6146007,134.1783332,1428.865026,1417.746749,1386.249652,1413.228587,1408.739214,1377.117262,0.982118058
3.788252073,3.788326352,1038.294336,57.60360478,49.57285084,1180.210184,1189.26999,924.9750609,930.7924829,979.6057759,1473.246477,1544.898504,1578.2525,1559.351933,1542.426941,1507.352511,1450.19954,1393.114929,1128.141092,1064.307572,475.9471757,477.4397857,482.8020899,482.4017603,41.93568056,0.167278944,105.7013197,117.5437536,116.999986,114.7041564,118.5525733,122.1618095,112.047436,117.0711157,118.1220912,119.0545321,114.0974643,118.6430741,709.2019224,1087.164944,1087.794489,310.047564,694.7585027,137.4120802,1477.084695,1468.171807,1426.232599,1453.270283,1443.056349,1403.008961,1.12388195
5.832013946,5.832513909,1071.331924,67.85489808,58.36065391,1157.497529,1156.278326,941.8880825,982.7329845,1005.799868,1478.567777,1539.651076,1573.448498,1555.576338,1525.819217,1505.851393,1451.887982,1390.872983,1124.084262,1063.546103,421.8803599,422.2420402,423.4340172,114.920565,51.82123431,0.195625122,103.074981,112.5451955,112.3446026,111.8312682,113.7247582,118.0132728,107.0252469,114.1973835,113.5181966,114.5208159,110.7266433,116.1505806,674.3959534,899.1594048,888.2721638,253.8856282,662.8400238,137.4573798,1424.032271,1413.751297,1385.75145,1416.948645,1409.404566,1378.268224,1.392854162
4.939620133,4.940534769,1077.103135,68.34505678,58.35697989,1160.374511,1158.643111,943.0160248,985.6246554,996.2074053,1404.534701,1540.956315,1577.148608,1556.21954,1526.181195,1508.761585,1454.583411,1395.711786,1125.444809,1060.654362,411.2672262,413.4327109,414.2490602,163.2668873,51.1826172,0.210349717,102.6055812,112.1781244,112.2392817,111.258988,113.8504517,118.1823265,106.8184697,113.7072156,114.6175278,116.2179903,112.2429111,117.2204581,678.553515,919.5806173,911.5428531,247.3519486,648.7470127,130.267814,1435.251007,1423.398147,1391.777545,1430.343021,1421.517935,1387.863175,2.25481944
5.104254861,5.10425,1060.58607,62.96094949,52.03516987,1161.922175,1162.929452,935.0674514,964.3107574,1003.663772,1488.21981,1545.472534,1566.536789,1567.168276,1548.0193,1529.29819,1462.089531,1401.213432,1120.672231,1056.518153,430.9097439,435.0485369,435.8738379,436.87721,51.4196255,0.209680897,108.2382347,118.4322975,118.2902341,115.8740522,119.5576816,123.1623976,112.5905074,118.6907431,120.0981306,120.0149773,115.8418119,119.1876672,705.7171487,952.5660293,925.0091836,314.7162423,766.2953838,162.0559085,1448.606981,1438.443029,1417.802214,1428.410885,1421.485575,1399.56583,0.456083333
2.091154175,2.09165269,1064.848183,449.686107,-49.98907471,1166.871246,1164.270858,926.1321138,968.7676865,1009.856434,1470.884751,1554.450597,1577.116618,1563.799336,1529.606253,1512.75014,1464.937666,1406.449408,1105.855315,1052.163799,391.3709342,391.2656048,391.4498533,395.5061631,53.9182561,0.215893994,111.4693581,124.164567,122.6067893,119.1999126,122.6817404,125.0776076,113.9287868,120.0412383,121.8561602,122.6871392,117.3601745,119.5859426,664.5660063,869.8193634,858.083779,293.6868817,712.445202,127.7466779,1416.564851,1408.111526,1374.653209,1419.409925,1397.240874,1389.833926,0.468708327
3.829976392,3.830805478,1038.32492,53.74508864,43.85546977,1180.527623,1189.578349,924.7477018,930.066463,979.4678457,1472.996344,1544.706194,1577.857362,1560.19506,1543.745183,1508.623358,1450.942471,1393.371602,1127.312751,1065.180767,473.4358509,474.7354249,478.8253035,478.0155093,46.70348064,0.264241932,104.4658814,116.669096,115.8006302,113.0203356,117.4460918,120.7526317,110.652748,116.3436222,116.9462774,117.5342926,112.4790506,117.4229036,704.540539,1083.008281,1074.94217,309.4641852,697.6146958,132.914904,1473.571422,1465.133704,1424.892616,1448.444211,1438.746516,1399.599649,0.840583339
